baseline unet,MSE,NMSE,PSNR,SSIM
,4.84E-11,0.006568,36.32,0.91,,,,4.843e-11 +/- 5.915e-11,0.006568 +/- 0.004241,36.32 +/- 5.297,0.91 +/- 0.06142
,1.26E-11,0.01425,34.99,0.8344,,,,1.258e-11 +/- 1.599e-11,0.01425 +/- 0.01195,34.99 +/- 4.342,0.8344 +/- 0.1634
,1.22E-10,0.01535,32.57,0.8636,,,,1.219e-10 +/- 1.774e-10,0.01535 +/- 0.008592,32.57 +/- 4.532,0.8636 +/- 0.07421
,2.12E-11,0.02334,32.75,0.7881,,,,2.122e-11 +/- 2.745e-11,0.02334 +/- 0.01294,32.75 +/- 2.804,0.7881 +/- 0.1643

baseline unet w/o rss,MSE,NMSE,PSNR,SSIM
,6.881e-11,0.009134,34.87,0.8972,6.881e-11 +/- 8.782e-11,0.009134 +/- 0.005795,34.87 +/- 4.642,0.8972 +/- 0.06554
,1.653e-11,0.01839,33.91,0.8168,1.653e-11 +/- 2.17e-11,0.01839 +/- 0.01515,33.91 +/- 4.023,0.8168 +/- 0.1657
,1.451e-10,0.01812,31.87,0.8539,1.451e-10 +/- 2.231e-10,0.01812 +/- 0.0111,31.87 +/- 4.361,0.8539 +/- 0.07754
,2.387e-11,0.02632,32.24,0.7765,2.387e-11 +/- 2.999e-11,0.02632 +/- 0.01558,32.24 +/- 2.683,0.7765 +/- 0.1663

unet_random_crop,MSE,NMSE,PSNR,SSIM
x4 PD,9.205e-11,0.01149,33.78,0.8934,9.205e-11 +/- 1.351e-10,0.01149 +/- 0.005402,33.78 +/- 4.541,0.8934 +/- 0.0558
x4 PDFS,1.429e-11,0.01622,34.36,0.8315,1.429e-11 +/- 1.657e-11,0.01622 +/- 0.01157,34.36 +/- 4.056,0.8315 +/- 0.1637
x8 PD,1.6e-10,0.01954,31.52,0.8489,1.6e-10 +/- 2.584e-10,0.01954 +/- 0.01057,31.52 +/- 4.303,0.8489 +/- 0.07205
x8 PDFS,2.237e-11,0.0249,32.46,0.7863,2.237e-11 +/- 2.585e-11,0.0249 +/- 0.01381,32.46 +/- 2.919,0.7863 +/- 0.1666

dilatedunet_rss,MSE,NMSE,PSNR,SSIM
