baseline_unet pd&pdfs,train on 128 examples test on 20 val examples,,,,,
accerlatioon, Supression, MSE, NMSE, PSNR, SSIM,
x4,PD,6.711e-11 +/- 9.002e-11, 0.008778 +/- 0.005333, 35.04 +/- 5.214, 0.8971 +/- 0.0662,0.03
x4,PDFS,1.386e-11 +/- 1.607e-11, 0.01572 +/- 0.01104, 34.5 +/- 3.98, 0.8271 +/- 0.1629,0.04
x8,PD,1.698e-10 +/- 2.474e-10,0.02163 +/- 0.0131, 31.1 +/- 4.885, 0.8418 +/- 0.08396,0.05
x8,PDFS,2.327e-11 +/- 2.752e-11,0.02592 +/- 0.01212,32.25 +/- 2.31, 0.779 +/- 0.1632,0.05
,,,,,,
baseline_unet pd&pdfs,train on 128 examples test on 199 val examples,,,,,
accerlatioon, Supression, MSE, NMSE, PSNR, SSIM,
x4,PD,1.058e-10 +/- 1.739e-10,0.00957 +/- 0.005942,35.07 +/- 3.595,0.9024 +/- 0.05506,0.025
x4,PDFS,1.617e-11 +/- 5.208e-11,0.01608 +/- 0.03861,35.07 +/- 4.654,0.8488 +/- 0.1268,0.022
x8,PD,2.661e-10 +/- 4.291e-10,0.0237 +/- 0.01403,31.11 +/- 3.426,0.8468 +/- 0.06922,0.045
x8,PDFS,2.78e-11 +/- 7.601e-11,0.02702 +/- 0.05031,32.68 +/- 4.332,0.8054 +/- 0.1353,0.023
,,,,,,
official valset result,,,,,,
accerlatioon, Supression, MSE, NMSE, PSNR, SSIM,
x4,PD,0,0.0054,37.58,0.9287,
x4,PDFS,0,0.0112,36.39,0.8665,
x8,PD,0,0.12,24.12,0.8915,
x8,PDFS,0,0.181,34.23,0.8286,
,,,,,,
,,,,,,
baseline_unet pd,train on 64 examples test on 20 val examples,,,,,
x4,PD,5.996e-11 +/- 7.783e-11,0.007918 +/- 0.004785,35.48 +/- 5.028,0.9017 +/- 0.06387,0.0046
x4,PDFS,1.402e-11 +/- 1.846e-11,0.01584 +/- 0.0144,34.56 +/- 4.462,0.8291 +/- 0.1643,0.002
x8,PD,1.482e-10 +/- 2.173e-10,0.01871 +/- 0.01067,31.71 +/- 4.683,0.8506 +/- 0.07987,0.0088
x8,PDFS,2.258e-11 +/- 2.749e-11,0.02501 +/- 0.01244,32.42 +/- 2.583,0.7823 +/- 0.1645,0.0033
,,,,,,
